Respondent,WorkWeekHrs,Age,Gender
639,40.0,24.0,Man
640,45.0,36.0,Woman
641,45.0,,
642,,17.0,Man
643,40.0,39.0,Man
644,,19.0,Man
645,50.0,30.0,Man
646,21.0,35.0,Man
647,40.0,23.0,
648,50.0,58.0,Man
649,,,Man
650,40.0,24.0,Man
651,,,Man
652,40.0,44.0,Woman
653,,,Man
654,40.0,37.0,Man
655,,21.0,Man
656,,43.0,Man
657,36.0,37.0,Man
658,40.0,28.0,Man
659,35.0,28.0,Woman
660,40.0,35.0,Man
661,,27.0,Man
662,60.0,31.0,Man
663,40.0,24.0,Man
664,40.0,30.0,Man
665,50.0,52.0,Man
666,40.0,33.0,Man
667,40.0,36.0,Man
668,40.0,27.0,Man
669,40.0,23.0,Man
670,,28.0,Man
671,45.0,29.0,Man
672,8.0,24.0,
673,,13.0,Man
674,30.0,18.0,Woman
675,40.0,28.0,Man
676,36.0,,Man
677,35.0,31.0,Man
678,40.0,31.0,Man
679,40.0,27.0,Man
680,40.0,36.0,Man
681,43.0,24.0,Man
682,40.0,37.0,Man
683,40.0,23.0,Man
684,42.0,27.0,Man
685,40.0,29.0,Man
686,40.0,37.0,Man
687,,23.0,Man
688,40.0,19.0,Man
689,40.0,24.0,Man
690,,,
691,50.0,28.0,Man
692,37.0,37.0,Man
693,35.0,33.0,Man
694,42.0,37.0,Man
695,41.0,25.0,Woman
696,40.0,28.0,Man
697,40.0,35.0,Man
698,,21.0,Man
699,45.0,28.0,Man
700,,20.0,Man
701,40.0,29.0,Man
702,,,
703,40.0,34.0,Man
704,37.5,31.0,Man
705,40.0,32.0,Man
706,,40.0,Man
707,40.0,24.0,Woman
708,50.0,36.0,Man
709,50.0,32.0,Man
710,,15.0,Man
711,40.0,34.0,Man
712,40.0,28.0,Woman
713,30.0,,Man
714,37.5,22.0,Man
715,38.0,41.0,Man
716,40.0,38.0,Man
717,,23.0,Man
718,45.0,35.0,Man
719,,,Man
720,36.0,34.0,Woman
721,40.0,36.0,Man
722,1.0,1.0,
723,40.0,24.0,Man
724,40.0,39.0,Man
725,38.0,49.0,Man
726,,30.0,Man
727,,22.0,Man
728,10.0,22.0,Man
729,50.0,36.0,Man
730,,,Man
731,48.0,24.0,Man
732,40.0,25.0,Man
733,40.0,50.0,Man
734,,28.0,Man
735,40.0,33.0,Man
736,40.0,33.0,Man
737,40.0,52.0,Man
738,,18.0,Man
739,30.0,24.0,Man
740,40.0,29.0,Man
741,40.0,22.0,Man
742,40.0,19.0,Man
743,45.0,26.0,Man
744,60.0,38.0,Man
745,40.0,,Man
746,40.0,32.0,Man
747,40.0,40.0,Man
748,,24.0,Man
749,50.0,34.0,Man
750,,21.0,Woman
751,40.0,32.0,Man
752,40.0,34.0,Man
753,40.0,27.0,Man
754,,55.0,Man
755,30.0,37.0,Man
756,48.0,27.0,Man
757,45.0,28.0,"Non-binary, genderqueer, or gender non-conforming"
758,40.0,31.0,Man
759,,50.0,Woman
760,35.0,42.0,Man
761,40.0,28.0,Woman
762,40.0,45.0,Man
763,48.0,30.0,Man
764,40.0,33.0,Man
765,40.0,27.0,Man
766,50.0,37.0,Man
767,50.0,30.0,Man
768,39.0,34.0,Man
769,50.0,24.0,Man
770,38.0,29.0,Man
771,40.0,27.0,Man
772,,25.0,Man
773,30.0,21.0,Man
774,40.0,26.0,Woman
775,,,Man
776,35.0,31.0,Man
777,42.0,45.0,Man
778,35.0,32.0,Man
779,36.0,24.0,Man
780,40.0,24.0,Man
781,40.0,29.0,Man
782,,20.0,Man
783,25.0,22.0,Woman
784,45.0,24.0,Man
785,45.0,37.0,Man
786,40.0,26.0,Woman
787,40.0,29.0,Man
788,30.0,41.0,Man
789,40.0,31.0,Woman
790,40.0,25.0,Man
791,40.0,24.0,Man
792,10.0,24.0,Man
793,55.0,28.0,Man
794,30.0,64.0,Man
795,,22.0,Man
796,45.0,41.0,Man
797,35.0,36.0,Man
798,,20.0,Man
799,30.0,21.0,Man
800,40.0,21.0,Man
801,42.0,30.0,Man
802,60.0,42.0,Man
803,45.0,39.0,Man
804,,,
805,40.0,27.0,Woman
806,40.0,31.0,Man
807,42.0,39.0,Man
808,40.0,44.0,"Non-binary, genderqueer, or gender non-conforming"
809,,,Man
810,40.0,33.0,Man
811,,24.0,Man
812,40.0,41.0,Man
813,,43.0,Man
814,37.0,24.0,Man
815,,50.0,Man
816,42.0,37.0,Man
817,38.5,23.0,Man
818,,23.0,Man
819,40.0,33.0,Man
820,,18.0,Man
821,40.0,29.0,Man
822,50.0,34.0,Man
823,35.0,35.0,Woman
824,,22.0,Man
825,,26.0,Man
826,,19.0,Man
827,48.0,,Woman
828,40.0,28.0,Man
829,40.0,32.0,Man
830,40.0,36.0,Man
831,9.0,30.0,Man
832,45.0,21.0,Man
833,,30.0,Man
834,,28.0,Man
835,40.0,36.0,Man
836,20.0,,
837,40.0,21.0,Man
838,45.0,31.0,Man
839,28.0,32.0,Man
840,,,
841,40.0,35.0,Man
842,40.0,44.0,Man
843,42.5,27.0,Man
844,38.0,27.0,Man
845,40.0,44.0,Man
846,45.0,22.0,Man
847,,,Man
848,40.0,26.0,Man
849,,18.0,Man
850,37.5,36.0,Man
851,,20.0,Woman
852,40.0,28.0,Man
853,60.0,26.0,Man
854,30.0,46.0,
855,45.0,40.0,Man
856,37.0,45.0,Man
857,37.0,23.0,Man
858,,17.0,Man
859,37.5,30.0,Man
860,45.0,24.0,Man
861,40.0,27.0,Man
862,37.5,29.0,Man
863,,18.0,Man
864,45.0,25.0,Man
865,40.0,27.0,Man
866,,35.0,Man
867,37.0,42.0,Man
868,,21.0,Man
869,40.0,30.0,Man
870,40.0,25.0,Man
871,,23.0,Woman
872,40.0,32.0,Man
873,40.0,23.0,Man
874,80.0,25.0,Man
875,,18.0,Man
876,40.0,29.0,
877,45.0,49.0,Man
878,35.0,32.0,Woman
879,,17.0,Man
880,40.0,30.0,Man
881,,20.0,Man
882,40.0,20.0,Man
883,40.0,46.0,Man
884,40.0,28.0,Man
885,40.0,23.0,Man
886,,26.0,Woman
887,40.0,33.0,Man
888,38.0,34.0,Man
889,,,Man
890,40.0,28.0,Woman
891,,15.0,Man
892,40.0,33.0,Man
893,70.0,22.0,Man
894,60.0,27.0,Man
895,36.75,,Man
896,44.0,21.0,Man
897,,,
898,45.0,25.0,Man
899,45.0,28.0,Man
900,20.0,26.0,Man
901,40.0,25.0,Man
902,,23.0,Woman
903,40.0,22.0,Man
904,32.0,40.0,Man
906,,,
907,40.0,25.0,Man
908,,,Man
909,37.5,28.0,Man
910,40.0,25.0,Man
911,,22.0,Man
912,,27.0,Man
913,40.0,20.0,Man
914,40.0,51.0,Man
915,40.0,38.0,Man
916,50.0,41.0,Man
917,40.0,33.0,Man
918,38.0,20.0,Man
919,50.0,32.0,Man
920,45.0,28.0,Man
921,40.0,30.0,Man
922,40.0,28.0,Man
923,40.0,31.0,Man
924,,,Man
925,38.0,28.0,Man
926,45.0,20.0,Man
927,40.0,22.0,Man
928,,27.0,Man
929,40.0,32.0,Man
930,40.0,33.0,Man
931,40.0,35.0,Man
932,55.0,34.0,Man
933,50.0,24.0,Man
934,40.0,27.0,Man
935,40.0,38.0,Man
936,,16.0,Man
937,,15.0,Man
938,38.0,31.0,Man
939,37.5,22.0,Man
940,,,Man
941,,20.0,Man
942,37.5,28.0,Man
943,32.0,36.0,Man
944,40.0,32.0,Man
945,40.0,27.0,Man
946,41.0,37.0,Woman
947,,18.0,Man
948,40.0,32.0,Man
949,45.0,24.0,Man
950,40.0,,Man
951,38.0,42.0,Man
952,30.0,38.0,Man
953,40.0,23.0,Woman
954,,19.0,Man
955,40.0,40.0,Man
956,,,Man
957,40.0,26.0,Man
958,37.5,28.0,Man
959,37.5,35.0,Man
960,40.0,20.0,Woman
961,70.0,,Man
962,40.0,29.0,Man
963,,,
964,,30.0,Man
965,40.0,22.0,Man
966,,,
967,40.0,36.0,Man
968,55.0,31.0,Man
969,44.0,27.0,Man
970,40.0,53.0,Man
971,45.0,33.0,Man
972,40.0,27.0,Man
973,45.0,22.0,Man
974,,,Man
975,40.0,28.0,Man
976,,16.0,Man
977,40.0,45.0,Man
978,40.0,27.0,Man
979,40.0,40.0,Man
980,40.0,35.0,Man
981,40.0,35.0,Man
982,35.0,19.0,Man
983,40.0,29.0,Man
984,40.0,25.0,Man
985,,26.0,Man
986,,24.0,Man
987,41.0,20.0,Man
988,40.0,,Man
989,,19.0,Man
990,,25.0,Man
991,20.0,29.0,Man
992,,20.0,Man
993,40.0,36.0,Man
994,50.0,33.0,Man
995,,23.0,"Woman;Man;Non-binary, genderqueer, or gender non-conforming"
996,,18.0,
997,36.0,25.0,Woman
998,,,Man
999,40.0,28.0,Man
1000,32.0,25.0,Man
1001,,30.0,Man
1002,,20.0,Man
1003,,19.0,Man
1004,38.0,38.0,Man
1005,40.0,25.0,"Non-binary, genderqueer, or gender non-conforming"
1006,45.0,25.0,Man
1007,40.0,27.0,Man
1008,20.0,38.0,Man
1009,40.0,26.0,Woman
1010,44.0,27.0,Man
1011,50.0,,Man
1012,70.0,,
1013,40.0,26.0,Man
1014,32.0,,Man
1015,40.0,32.0,Woman
1016,40.0,25.0,Man
1017,50.0,27.0,Man
1018,,26.0,Man
1019,40.0,32.0,Man
1020,,,Man
1021,40.0,41.0,Man
1022,40.0,24.0,Man
1023,38.5,29.0,Man
1024,40.0,26.0,Man
1025,30.0,29.0,Man
1026,,25.0,Man
1027,40.0,34.0,Man
1028,45.0,22.0,Woman
1029,44.0,59.0,Man
1030,40.0,29.0,Man
1031,,33.0,Man
1032,40.0,25.0,Man
1033,40.0,50.0,Man
1034,40.0,26.0,Man
1035,45.0,43.0,Man
1036,55.0,40.0,Woman
1037,40.0,31.0,Man
1038,45.0,21.0,"Non-binary, genderqueer, or gender non-conforming"
1039,50.0,37.0,Man
1040,,,Woman
1041,34.0,35.0,Woman
1042,45.0,44.0,Man
1043,42.0,35.0,Man
1044,,,Man
1045,45.0,32.0,Man
1046,,23.0,Man
1047,,25.0,Man
1048,35.0,27.0,Man
1049,40.0,,Man
1050,16.0,21.0,Man
1051,40.0,40.0,Man
1052,,37.0,Man
1053,,18.0,Man
1054,48.0,28.0,Man
1055,40.0,25.0,Man
1056,40.0,34.0,Man
1057,30.0,38.0,Man
1058,40.0,,Man
1059,,,
1060,,,Man
1061,38.0,38.0,Man
1062,40.0,25.0,Man
1063,45.0,31.0,Man
1064,40.0,29.0,Woman
1065,44.0,28.0,Man
1066,43.0,40.0,Man
1067,40.0,29.0,Man
1068,45.0,27.0,Man
1069,40.0,40.0,Man
1070,40.0,35.0,Man
1071,40.0,39.0,Man
1072,,20.0,Man
1073,35.0,37.0,Man
1074,48.0,28.0,Man
1075,40.0,50.0,Man
1076,44.0,27.0,Woman
1077,40.0,22.0,Man
1078,,,
1079,40.0,24.0,Man
1080,,18.0,Man
1081,40.0,38.0,Man
1082,40.0,37.0,Man
1083,16.0,22.0,Man
1084,40.0,36.0,Man
1085,40.0,32.0,Man
1086,40.0,21.0,Man
1087,,19.0,Man
1088,10.0,28.0,Man
1089,40.0,28.0,Man
1090,40.0,43.0,Man
1091,,21.0,Man
1092,,19.0,Man
1093,,21.0,Man
1094,52.0,69.0,Man
1095,,31.0,Man
1096,40.0,19.0,Man
1097,37.5,26.0,Man
1098,60.0,27.0,
1099,40.0,33.0,Man
1100,,,Man
1101,45.0,30.0,Woman
1102,,53.0,Man
1103,37.5,29.0,Man
1104,,,Man
1105,70.0,65.0,Man
1106,,17.0,Man
1107,40.0,,Man
1108,,21.0,Man
1109,50.0,20.0,Man
1110,40.0,30.0,Man
1111,,28.0,Man
1112,40.0,,
1113,40.0,38.0,Man
1114,35.0,42.0,Man
1115,,17.5,Man
1116,160.0,26.0,Man
1117,40.0,25.0,"Non-binary, genderqueer, or gender non-conforming"
1118,45.0,48.0,Woman
1119,,17.0,Man
1120,40.0,26.0,Man
1121,20.0,22.0,Man
1122,40.0,27.0,Man
1123,40.0,37.0,Man
1124,,35.0,Man
1125,375.0,19.0,Man
1126,38.0,,Man
1127,37.0,28.0,Man
1128,45.0,27.0,Man
1129,40.0,30.0,Man
1130,40.0,33.0,Man
1131,35.0,24.0,Man
1132,38.0,29.0,Man
1133,40.0,24.0,Man
1134,,19.0,Woman
1135,,19.0,Man
